station_id,timestamp,temperature_c,humidity_pct,pressure_hpa,wind_speed_ms,rainfall_mm
HYD_AWS_01,2026-09-01 00:00:00+00:00,24.22,82.75,1010.45,4.57,0.0
HYD_AWS_01,2026-09-01 01:00:00+00:00,24.33,84.31,1009.59,3.23,0.0
HYD_AWS_01,2026-09-01 02:00:00+00:00,24.84,77.55,1008.79,3.31,0.0
HYD_AWS_01,2026-09-01 03:00:00+00:00,25.36,77.27,1009.5,2.3,0.0
HYD_AWS_01,2026-09-01 04:00:00+00:00,26.65,72.94,1009.6,3.97,0.0
HYD_AWS_01,2026-09-01 05:00:00+00:00,27.58,73.59,1010.18,3.54,0.0
HYD_AWS_01,2026-09-01 06:00:00+00:00,29.17,66.1,1010.54,3.22,0.0
HYD_AWS_01,2026-09-01 07:00:00+00:00,31.75,66.27,1010.1,4.78,0.0
HYD_AWS_01,2026-09-01 08:00:00+00:00,31.68,59.96,1008.89,3.74,0.0
HYD_AWS_01,2026-09-01 09:00:00+00:00,32.19,55.81,1009.12,4.41,0.0
HYD_AWS_01,2026-09-01 10:00:00+00:00,33.31,56.11,1010.61,5.04,0.0
HYD_AWS_01,2026-09-01 11:00:00+00:00,34.05,52.39,1008.81,5.22,0.1
HYD_AWS_01,2026-09-01 12:00:00+00:00,34.7,55.44,1009.79,5.21,0.53
HYD_AWS_01,2026-09-01 13:00:00+00:00,34.86,54.12,1012.18,3.92,0.0
HYD_AWS_01,2026-09-01 14:00:00+00:00,33.75,54.47,1009.85,3.21,0.0
HYD_AWS_01,2026-09-01 15:00:00+00:00,32.7,54.7,1009.2,5.16,0.09
HYD_AWS_01,2026-09-01 16:00:00+00:00,32.34,61.09,1009.35,5.03,0.0
HYD_AWS_01,2026-09-01 17:00:00+00:00,31.37,64.43,1009.47,5.16,0.06
HYD_AWS_01,2026-09-01 18:00:00+00:00,29.61,68.47,1009.65,4.53,0.0
HYD_AWS_01,2026-09-01 19:00:00+00:00,28.03,71.36,1009.93,4.58,0.0
HYD_AWS_01,2026-09-01 20:00:00+00:00,27.87,75.81,1009.75,4.64,0.0
HYD_AWS_01,2026-09-01 21:00:00+00:00,25.99,75.59,1008.78,3.99,0.35
HYD_AWS_01,2026-09-01 22:00:00+00:00,25.14,81.53,1009.46,3.84,0.0
